uuid,item_id,timestamp,price,url,color,title,is_new
H084235CK631715925367,H084235CK63,1715925367,14705,/au/en/product/picotin-lock-micro-bag-H084235CK63/,Green,Picotin Lock micro bag,1
H073611CK8U1715925367,H073611CK8U,1715925367,23910,/au/en/product/roulis-mini-bag-H073611CK8U/,Blue,Roulis mini bag,1
H083618CKAC1715925367,H083618CKAC,1715925367,7300,/au/en/product/steeple-25-bag-H083618CKAC/,Multi-colored,Steeple 25 bag,1
H085078CKAA1715925367,H085078CKAA,1715925367,9545,/au/en/product/garden-party-49-voyage-bag-H085078CKAA/,Beige/Natural,Garden Party 49 voyage bag,1
H082924CAAD1715925367,H082924CAAD,1715925367,11955,/au/en/product/cabas-h-en-biais-40-bag-H082924CAAD/,Multi-colored,Cabas H en Biais 40 bag,1
H083894CAAG1715925367,H083894CAAG,1715925367,5900,/au/en/product/pursangle-tote-bag-H083894CAAG/,Multi-colored,Pursangle tote bag,1
H083618CKAB1715925367,H083618CKAB,1715925367,7300,/au/en/product/steeple-25-bag-H083618CKAB/,Multi-colored,Steeple 25 bag,1
H078595CKAA1715925367,H078595CKAA,1715925367,49705,/au/en/product/bolide-1923-45-racing-bag-H078595CKAA/,Blue,Bolide 1923 - 45 Racing bag,1
H084308CC341715925367,H084308CC34,1715925367,13015,/au/en/product/lindy-mini-bag-H084308CC34/,Beige/Natural,Lindy mini bag,1
H085078CKAA1715925967,H085078CKAA,1715925967,9545,/au/en/product/garden-party-49-voyage-bag-H085078CKAA/,Beige/Natural,Garden Party 49 voyage bag,0
H083618CKAB1715925967,H083618CKAB,1715925967,7300,/au/en/product/steeple-25-bag-H083618CKAB/,Multi-colored,Steeple 25 bag,0
H078595CKAA1715925967,H078595CKAA,1715925967,49705,/au/en/product/bolide-1923-45-racing-bag-H078595CKAA/,Blue,Bolide 1923 - 45 Racing bag,0
H082924CAAD1715925967,H082924CAAD,1715925967,11955,/au/en/product/cabas-h-en-biais-40-bag-H082924CAAD/,Multi-colored,Cabas H en Biais 40 bag,0
H084235CK631715925967,H084235CK63,1715925967,14705,/au/en/product/picotin-lock-micro-bag-H084235CK63/,Green,Picotin Lock micro bag,0
H083894CAAG1715925967,H083894CAAG,1715925967,5900,/au/en/product/pursangle-tote-bag-H083894CAAG/,Multi-colored,Pursangle tote bag,0
H083618CKAC1715925967,H083618CKAC,1715925967,7300,/au/en/product/steeple-25-bag-H083618CKAC/,Multi-colored,Steeple 25 bag,0
H085078CKAA1715926567,H085078CKAA,1715926567,9545,/au/en/product/garden-party-49-voyage-bag-H085078CKAA/,Beige/Natural,Garden Party 49 voyage bag,1
H078595CKAA1715926567,H078595CKAA,1715926567,49705,/au/en/product/bolide-1923-45-racing-bag-H078595CKAA/,Blue,Bolide 1923 - 45 Racing bag,1
H078971CCAA1715926567,H078971CCAA,1715926567,4870,/au/en/product/herbag-zip-31-bag-H078971CCAA/,Black,Herbag Zip 31 bag,1
H084235CK631715926567,H084235CK63,1715926567,14705,/au/en/product/picotin-lock-micro-bag-H084235CK63/,Green,Picotin Lock micro bag,1
H083618CKAC1715926567,H083618CKAC,1715926567,7300,/au/en/product/steeple-25-bag-H083618CKAC/,Multi-colored,Steeple 25 bag,1
H083618CKAB1715926567,H083618CKAB,1715926567,7300,/au/en/product/steeple-25-bag-H083618CKAB/,Multi-colored,Steeple 25 bag,1
H082924CAAD1715926567,H082924CAAD,1715926567,11955,/au/en/product/cabas-h-en-biais-40-bag-H082924CAAD/,Multi-colored,Cabas H en Biais 40 bag,1
H082608CK3I1715926567,H082608CK3I,1715926567,12380,/au/en/product/lindy-mini-bag-H082608CK3I/,Green,Lindy mini bag,1
H083894CAAG1715926567,H083894CAAG,1715926567,5900,/au/en/product/pursangle-tote-bag-H083894CAAG/,Multi-colored,Pursangle tote bag,1
H078971CCAA1715927167,H078971CCAA,1715927167,4870,/au/en/product/herbag-zip-31-bag-H078971CCAA/,Black,Herbag Zip 31 bag,0
H082608CK3I1715927167,H082608CK3I,1715927167,12380,/au/en/product/lindy-mini-bag-H082608CK3I/,Green,Lindy mini bag,0
H083618CKAC1715927167,H083618CKAC,1715927167,7300,/au/en/product/steeple-25-bag-H083618CKAC/,Multi-colored,Steeple 25 bag,0
H082924CAAD1715927167,H082924CAAD,1715927167,11955,/au/en/product/cabas-h-en-biais-40-bag-H082924CAAD/,Multi-colored,Cabas H en Biais 40 bag,0
H083618CKAB1715927167,H083618CKAB,1715927167,7300,/au/en/product/steeple-25-bag-H083618CKAB/,Multi-colored,Steeple 25 bag,0
H078595CKAA1715927167,H078595CKAA,1715927167,49705,/au/en/product/bolide-1923-45-racing-bag-H078595CKAA/,Blue,Bolide 1923 - 45 Racing bag,0
H083894CAAG1715927167,H083894CAAG,1715927167,5900,/au/en/product/pursangle-tote-bag-H083894CAAG/,Multi-colored,Pursangle tote bag,0
H085078CKAA1715927167,H085078CKAA,1715927167,9545,/au/en/product/garden-party-49-voyage-bag-H085078CKAA/,Beige/Natural,Garden Party 49 voyage bag,0
H084235CK631715927167,H084235CK63,1715927167,14705,/au/en/product/picotin-lock-micro-bag-H084235CK63/,Green,Picotin Lock micro bag,0
H082924CAAD1715927767,H082924CAAD,1715927767,11955,/au/en/product/cabas-h-en-biais-40-bag-H082924CAAD/,Multi-colored,Cabas H en Biais 40 bag,1
H083618CKAB1715927767,H083618CKAB,1715927767,7300,/au/en/product/steeple-25-bag-H083618CKAB/,Multi-colored,Steeple 25 bag,1
H083618CKAC1715927767,H083618CKAC,1715927767,7300,/au/en/product/steeple-25-bag-H083618CKAC/,Multi-colored,Steeple 25 bag,1
H073611CK8U1715927767,H073611CK8U,1715927767,23910,/au/en/product/roulis-mini-bag-H073611CK8U/,Blue,Roulis mini bag,1
H083894CAAG1715927767,H083894CAAG,1715927767,5900,/au/en/product/pursangle-tote-bag-H083894CAAG/,Multi-colored,Pursangle tote bag,1
H056289CC0W1715927767,H056289CC0W,1715927767,5270,/au/en/product/picotin-lock-18-bag-H056289CC0W/,Grey,Picotin Lock 18 bag,1
H083189CKAR1715927767,H083189CKAR,1715927767,6560,/au/en/product/picotin-lock-18-pocket-bag-H083189CKAR/,Green,Picotin Lock 18 pocket bag,1
H078595CKAA1715927767,H078595CKAA,1715927767,49705,/au/en/product/bolide-1923-45-racing-bag-H078595CKAA/,Blue,Bolide 1923 - 45 Racing bag,1
H085078CKAA1715927767,H085078CKAA,1715927767,9545,/au/en/product/garden-party-49-voyage-bag-H085078CKAA/,Beige/Natural,Garden Party 49 voyage bag,1
H073611CK8U1715928367,H073611CK8U,1715928367,23910,/au/en/product/roulis-mini-bag-H073611CK8U/,Blue,Roulis mini bag,0
H078595CKAA1715928367,H078595CKAA,1715928367,49705,/au/en/product/bolide-1923-45-racing-bag-H078595CKAA/,Blue,Bolide 1923 - 45 Racing bag,0
H082924CAAD1715928367,H082924CAAD,1715928367,11955,/au/en/product/cabas-h-en-biais-40-bag-H082924CAAD/,Multi-colored,Cabas H en Biais 40 bag,0
H056289CC0W1715928367,H056289CC0W,1715928367,5270,/au/en/product/picotin-lock-18-bag-H056289CC0W/,Grey,Picotin Lock 18 bag,0
H085078CKAA1715928367,H085078CKAA,1715928367,9545,/au/en/product/garden-party-49-voyage-bag-H085078CKAA/,Beige/Natural,Garden Party 49 voyage bag,0
H083618CKAC1715928367,H083618CKAC,1715928367,7300,/au/en/product/steeple-25-bag-H083618CKAC/,Multi-colored,Steeple 25 bag,0
H083618CKAB1715928367,H083618CKAB,1715928367,7300,/au/en/product/steeple-25-bag-H083618CKAB/,Multi-colored,Steeple 25 bag,0
H083189CKAR1715928367,H083189CKAR,1715928367,6560,/au/en/product/picotin-lock-18-pocket-bag-H083189CKAR/,Green,Picotin Lock 18 pocket bag,0
H083894CAAG1715928367,H083894CAAG,1715928367,5900,/au/en/product/pursangle-tote-bag-H083894CAAG/,Multi-colored,Pursangle tote bag,0
H082924CAAD1715928967,H082924CAAD,1715928967,11955,/au/en/product/cabas-h-en-biais-40-bag-H082924CAAD/,Multi-colored,Cabas H en Biais 40 bag,1
H083618CKAB1715928967,H083618CKAB,1715928967,7300,/au/en/product/steeple-25-bag-H083618CKAB/,Multi-colored,Steeple 25 bag,1
H085078CKAA1715928967,H085078CKAA,1715928967,9545,/au/en/product/garden-party-49-voyage-bag-H085078CKAA/,Beige/Natural,Garden Party 49 voyage bag,1
H078595CKAA1715928967,H078595CKAA,1715928967,49705,/au/en/product/bolide-1923-45-racing-bag-H078595CKAA/,Blue,Bolide 1923 - 45 Racing bag,1
H083618CKAC1715928967,H083618CKAC,1715928967,7300,/au/en/product/steeple-25-bag-H083618CKAC/,Multi-colored,Steeple 25 bag,1
H073611CK8U1715928967,H073611CK8U,1715928967,23910,/au/en/product/roulis-mini-bag-H073611CK8U/,Blue,Roulis mini bag,1
H083189CKAR1715928967,H083189CKAR,1715928967,6560,/au/en/product/picotin-lock-18-pocket-bag-H083189CKAR/,Green,Picotin Lock 18 pocket bag,1
H083894CAAG1715928967,H083894CAAG,1715928967,5900,/au/en/product/pursangle-tote-bag-H083894CAAG/,Multi-colored,Pursangle tote bag,1
H083618CKAC1715929567,H083618CKAC,1715929567,7300,/au/en/product/steeple-25-bag-H083618CKAC/,Multi-colored,Steeple 25 bag,0
H078595CKAA1715929567,H078595CKAA,1715929567,49705,/au/en/product/bolide-1923-45-racing-bag-H078595CKAA/,Blue,Bolide 1923 - 45 Racing bag,0
H073611CK8U1715929567,H073611CK8U,1715929567,23910,/au/en/product/roulis-mini-bag-H073611CK8U/,Blue,Roulis mini bag,0
H082924CAAD1715929567,H082924CAAD,1715929567,11955,/au/en/product/cabas-h-en-biais-40-bag-H082924CAAD/,Multi-colored,Cabas H en Biais 40 bag,0
H085078CKAA1715929567,H085078CKAA,1715929567,9545,/au/en/product/garden-party-49-voyage-bag-H085078CKAA/,Beige/Natural,Garden Party 49 voyage bag,0
H083189CKAR1715929567,H083189CKAR,1715929567,6560,/au/en/product/picotin-lock-18-pocket-bag-H083189CKAR/,Green,Picotin Lock 18 pocket bag,0
H083894CAAG1715929567,H083894CAAG,1715929567,5900,/au/en/product/pursangle-tote-bag-H083894CAAG/,Multi-colored,Pursangle tote bag,0
H083618CKAB1715929567,H083618CKAB,1715929567,7300,/au/en/product/steeple-25-bag-H083618CKAB/,Multi-colored,Steeple 25 bag,0
H083894CAAG1715930167,H083894CAAG,1715930167,5900,/au/en/product/pursangle-tote-bag-H083894CAAG/,Multi-colored,Pursangle tote bag,1
H085078CKAA1715930167,H085078CKAA,1715930167,9545,/au/en/product/garden-party-49-voyage-bag-H085078CKAA/,Beige/Natural,Garden Party 49 voyage bag,1
H078595CKAA1715930167,H078595CKAA,1715930167,49705,/au/en/product/bolide-1923-45-racing-bag-H078595CKAA/,Blue,Bolide 1923 - 45 Racing bag,1
H073611CK8U1715930167,H073611CK8U,1715930167,23910,/au/en/product/roulis-mini-bag-H073611CK8U/,Blue,Roulis mini bag,1
H083618CKAC1715930167,H083618CKAC,1715930167,7300,/au/en/product/steeple-25-bag-H083618CKAC/,Multi-colored,Steeple 25 bag,1
H083189CKAR1715930167,H083189CKAR,1715930167,6560,/au/en/product/picotin-lock-18-pocket-bag-H083189CKAR/,Green,Picotin Lock 18 pocket bag,1
H083618CKAB1715930167,H083618CKAB,1715930167,7300,/au/en/product/steeple-25-bag-H083618CKAB/,Multi-colored,Steeple 25 bag,1
H082924CAAD1715930167,H082924CAAD,1715930167,11955,/au/en/product/cabas-h-en-biais-40-bag-H082924CAAD/,Multi-colored,Cabas H en Biais 40 bag,1
H082924CAAD1715931967,H082924CAAD,1715931967,11955,/au/en/product/cabas-h-en-biais-40-bag-H082924CAAD/,Multi-colored,Cabas H en Biais 40 bag,0
