uuid,item_id,timestamp,price,url,color,title,is_new,date
H083618CKAC1716596167,H083618CKAC,1716596167,7300,/au/en/product/steeple-25-bag-H083618CKAC/,Multi-colored,Steeple 25 bag,1,2024-05-25
H082924CAAD1716596167,H082924CAAD,1716596167,11955,/au/en/product/cabas-h-en-biais-40-bag-H082924CAAD/,Multi-colored,Cabas H en Biais 40 bag,1,2024-05-25
H083894CAAG1716596167,H083894CAAG,1716596167,5900,/au/en/product/pursangle-tote-bag-H083894CAAG/,Multi-colored,Pursangle tote bag,1,2024-05-25
H078595CKAA1716596167,H078595CKAA,1716596167,49705,/au/en/product/bolide-1923-45-racing-bag-H078595CKAA/,Blue,Bolide 1923 - 45 Racing bag,1,2024-05-25
H083894CAAG1716681967,H083894CAAG,1716681967,5900,/au/en/product/pursangle-tote-bag-H083894CAAG/,Multi-colored,Pursangle tote bag,1,2024-05-26
H082924CAAD1716681967,H082924CAAD,1716681967,11955,/au/en/product/cabas-h-en-biais-40-bag-H082924CAAD/,Multi-colored,Cabas H en Biais 40 bag,1,2024-05-26
H083618CKAB1716681967,H083618CKAB,1716681967,7300,/au/en/product/steeple-25-bag-H083618CKAB/,Multi-colored,Steeple 25 bag,1,2024-05-26
H078595CKAA1716681967,H078595CKAA,1716681967,49705,/au/en/product/bolide-1923-45-racing-bag-H078595CKAA/,Blue,Bolide 1923 - 45 Racing bag,1,2024-05-26
H085078CKAA1716681967,H085078CKAA,1716681967,9545,/au/en/product/garden-party-49-voyage-bag-H085078CKAA/,Beige/Natural,Garden Party 49 voyage bag,1,2024-05-26
H083618CKAC1716681967,H083618CKAC,1716681967,7300,/au/en/product/steeple-25-bag-H083618CKAC/,Multi-colored,Steeple 25 bag,1,2024-05-26
H083894CAAG1716768967,H083894CAAG,1716768967,5900,/au/en/product/pursangle-tote-bag-H083894CAAG/,Multi-colored,Pursangle tote bag,1,2024-05-27
H083618CKAC1716768967,H083618CKAC,1716768967,7300,/au/en/product/steeple-25-bag-H083618CKAC/,Multi-colored,Steeple 25 bag,1,2024-05-27
H082924CAAD1716768967,H082924CAAD,1716768967,11955,/au/en/product/cabas-h-en-biais-40-bag-H082924CAAD/,Multi-colored,Cabas H en Biais 40 bag,1,2024-05-27
H078595CKAA1716768967,H078595CKAA,1716768967,49705,/au/en/product/bolide-1923-45-racing-bag-H078595CKAA/,Blue,Bolide 1923 - 45 Racing bag,1,2024-05-27
H085078CKAA1716768967,H085078CKAA,1716768967,9545,/au/en/product/garden-party-49-voyage-bag-H085078CKAA/,Beige/Natural,Garden Party 49 voyage bag,1,2024-05-27
H083618CKAB1716768967,H083618CKAB,1716768967,7300,/au/en/product/steeple-25-bag-H083618CKAB/,Multi-colored,Steeple 25 bag,1,2024-05-27
H073430CKB41716776767,H073430CKB4,1716776767,14285,/au/en/product/lindy-26-bag-H073430CKB4/,Yellow,Lindy 26 bag,1,2024-05-27
H073428CK4B1716776767,H073428CK4B,1716776767,13860,/au/en/product/lindy-26-bag-H073428CK4B/,Beige/Natural,Lindy 26 bag,1,2024-05-27
H073428CK0X1716776767,H073428CK0X,1716776767,13860,/au/en/product/lindy-26-bag-H073428CK0X/,Orange,Lindy 26 bag,1,2024-05-27
H073428CCI21716776767,H073428CCI2,1716776767,13860,/au/en/product/lindy-26-bag-H073428CCI2/,White,Lindy 26 bag,1,2024-05-27
H073428CK081716776767,H073428CK08,1716776767,13860,/au/en/product/lindy-26-bag-H073428CK08/,Blue,Lindy 26 bag,1,2024-05-27
H073428CC8Q1716776767,H073428CC8Q,1716776767,13860,/au/en/product/lindy-26-bag-H073428CC8Q/,Beige/Natural,Lindy 26 bag,1,2024-05-27
H060991CC0L1716852967,H060991CC0L,1716852967,5715,/au/en/product/picotin-lock-22-bag-H060991CC0L/,Grey,Picotin Lock 22 bag,1,2024-05-27
H083189CCAA1716852967,H083189CCAA,1716852967,6560,/au/en/product/picotin-lock-18-pocket-bag-H083189CCAA/,Black,Picotin Lock 18 pocket bag,1,2024-05-27
H073428CK181716854167,H073428CK18,1716854167,13860,/au/en/product/lindy-26-bag-H073428CK18/,Beige/Natural,Lindy 26 bag,1,2024-05-27
H078971CCAA1716854167,H078971CCAA,1716854167,4870,/au/en/product/herbag-zip-31-bag-H078971CCAA/,Black,Herbag Zip 31 bag,1,2024-05-27
H077913CC461716854167,H077913CC46,1716854167,5925,/au/en/product/picotin-lock-18-bag-H077913CC46/,Brown,Picotin Lock 18 bag,1,2024-05-27
H083189CKAR1716855367,H083189CKAR,1716855367,6560,/au/en/product/picotin-lock-18-pocket-bag-H083189CKAR/,Green,Picotin Lock 18 pocket bag,1,2024-05-28
H077887CKAG1716855367,H077887CKAG,1716855367,3725,/au/en/product/evelyne-16-amazone-bag-H077887CKAG/,Beige/Natural,Evelyne 16 Amazone bag,1,2024-05-28
H073428CC8Q1716855367,H073428CC8Q,1716855367,13860,/au/en/product/lindy-26-bag-H073428CC8Q/,Beige/Natural,Lindy 26 bag,1,2024-05-28
H078971CCAA1716855367,H078971CCAA,1716855367,4870,/au/en/product/herbag-zip-31-bag-H078971CCAA/,Black,Herbag Zip 31 bag,1,2024-05-28
H085078CKAA1716855367,H085078CKAA,1716855367,9545,/au/en/product/garden-party-49-voyage-bag-H085078CKAA/,Beige/Natural,Garden Party 49 voyage bag,1,2024-05-28
